year,state,dem,rep
1964,AR,56.4,43.6
1964,AZ,49.5,50.5
1964,CA,59.2,40.8
1964,CO,61.6,38.4
1964,CT,67.9,32.1
1964,DC,85.5,14.5
1964,DE,61.1,38.9
1964,FL,51.1,48.9
1964,GA,45.9,54.1
1964,HI,78.8,21.2
1964,IA,62.0,38.0
1964,ID,50.9,49.1
1964,IL,59.5,40.5
1964,IN,56.2,43.8
1964,KS,54.6,45.4
1964,KY,64.2,35.8
1964,LA,43.2,56.8
1964,MA,76.5,23.5
1964,MD,65.5,34.5
1964,ME,68.8,31.2
1964,MI,66.8,33.2
1964,MN,63.9,36.1
1964,MO,64.0,36.0
1964,MS,12.9,87.1
1964,MT,59.2,40.8
1964,NC,56.2,43.8
1964,ND,58.1,41.9
1964,NE,52.6,47.4
1964,NH,63.9,36.1
1964,NJ,66.0,34.0
1964,NM,59.5,40.5
1964,NV,58.6,41.4
1964,NY,68.7,31.3
1964,OH,62.9,37.1
1964,OK,55.7,44.3
1964,OR,63.9,36.1
1964,PA,65.2,34.8
1964,RI,80.9,19.1
1964,SC,41.1,58.9
1964,SD,55.6,44.4
1964,TN,55.5,44.5
1964,TX,63.4,36.6
1964,US,61.5,38.5
1964,UT,54.9,45.1
1964,VA,53.7,46.3
1964,VT,66.3,33.7
1964,WA,62.4,37.6
1964,WI,62.2,37.8
1964,WV,67.9,32.1
1964,WY,56.6,43.4
1960,AK,49.1,50.9
1960,AL,57.2,42.8
1960,AR,53.8,46.2
1960,AZ,44.4,55.6
1960,CA,49.7,50.3
1960,CO,45.1,54.9
1960,CT,53.7,46.3
1960,DC,,
1960,DE,50.8,49.2
1960,FL,48.5,51.5
1960,GA,62.6,37.4
1960,HI,50.0,50.0
1960,IA,43.3,56.7
1960,ID,46.2,53.8
1960,IL,50.1,49.9
1960,IN,44.8,55.2
1960,KS,39.3,60.7
1960,KY,46.4,53.6
1960,LA,63.8,36.2
1960,MA,60.4,39.6
1960,MD,53.6,46.4
1960,ME,43.0,57.0
1960,MI,51.0,49.0
1960,MN,50.7,49.3
1960,MO,50.3,49.7
1960,MS,75.3,24.7
1960,MT,48.7,51.3
1960,NC,52.1,47.9
1960,ND,44.5,55.5
1960,NE,37.9,62.1
1960,NH,46.6,53.4
1960,NJ,50.4,49.6
1960,NM,50.4,49.6
1960,NV,51.2,48.8
1960,NY,52.6,47.4
1960,OH,46.7,53.3
1960,OK,41.0,59.0
1960,OR,47.4,52.6
1960,PA,51.2,48.8
1960,RI,63.6,36.4
1960,SC,51.2,48.8
1960,SD,41.8,58.2
1960,TN,46.4,53.6
1960,TX,51.0,49.0
1960,US,50.2,49.8
1960,UT,45.2,54.8
1960,VA,47.2,52.8
1960,VT,41.4,58.6
1960,WA,48.8,51.2
1960,WI,48.1,51.9
1960,WV,52.7,47.3
1960,WY,45.0,55.0
